Vivado Simulator 2018.2
Time resolution is 1 ps
Time: 0 | BCLK: 0 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: x
Time: 10000 | BCLK: 0 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 20000 | BCLK: 1 | LRCLK: 1 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 40000 | BCLK: 0 | LRCLK: 1 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 60000 | BCLK: 1 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 80000 | BCLK: 0 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 100000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 120000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 140000 | BCLK: 1 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 160000 | BCLK: 0 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 180000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 200000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 220000 | BCLK: 1 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 240000 | BCLK: 0 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 260000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 280000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 300000 | BCLK: 1 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 320000 | BCLK: 0 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 340000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 360000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 380000 | BCLK: 1 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 400000 | BCLK: 0 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 420000 | BCLK: 1 | LRCLK: 1 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 440000 | BCLK: 0 | LRCLK: 1 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 460000 | BCLK: 1 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 480000 | BCLK: 0 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 500000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 520000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 540000 | BCLK: 1 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 560000 | BCLK: 0 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 580000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 600000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 620000 | BCLK: 1 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 640000 | BCLK: 0 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 660000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 680000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 700000 | BCLK: 1 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 720000 | BCLK: 0 | LRCLK: 0 | ADCDA: 0 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 740000 | BCLK: 1 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 760000 | BCLK: 0 | LRCLK: 1 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 780000 | BCLK: 1 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 800000 | BCLK: 0 | LRCLK: 0 | ADCDA: 1 | LEFT_OUT: xxxx | RIGHT_OUT: xxxx | DATAREADY: 0
Time: 820000 | BCLK: 1 | LRCLK: 1 | ADCDA: 0 | LEFT_OUT: xxxx | RIGH
